sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
花壇は踏まないで。,화단은 밟지 마세요.,"[""花壇は"", ""踏まないで。""]","[""<ruby>花壇<rp>(</rp><rt>かだん</rt><rp>)</rp></ruby>は"", ""<ruby>踏<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>まないで。""]",<ruby>花壇<rp>(</rp><rt>かだん</rt><rp>)</rp></ruby>は<ruby>踏<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>まないで。,N1
なんとか土壇場で間に合ったよ。,막판에 간신히 도착했어.,"[""なんとか"", ""土壇場で"", ""間に合った"", ""よ。""]","[""なんとか"", ""<ruby>土壇場<rp>(</rp><rt>どたんば</rt><rp>)</rp></ruby>で"", ""<ruby>間<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>に<ruby>合<rp>(</rp><rt>あ</rt><rp>)</rp></ruby>った"", ""よ。""]",なんとか<ruby>土壇場<rp>(</rp><rt>どたんば</rt><rp>)</rp></ruby>で<ruby>間<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>に<ruby>合<rp>(</rp><rt>あ</rt><rp>)</rp></ruby>ったよ。,etc
その勇敢な行為で彼は勲章を貰った。,그 용감한 행동으로 그는 훈장을 받았다.,"[""その"", ""勇敢な"", ""行為で"", ""彼は"", ""勲章を"", ""貰った""]","[""その"", ""<ruby>勇敢<rp>(</rp><rt>ゆうかん</rt><rp>)</rp></ruby>な"", ""<ruby>行為<rp>(</rp><rt>こうい</rt><rp>)</rp></ruby>で"", ""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>勲章<rp>(</rp><rt>くんしょう</rt><rp>)</rp></ruby>を"", ""<ruby>貰<rp>(</rp><rt>もら</rt><rp>)</rp></ruby>った""]",その<ruby>勇敢<rp>(</rp><rt>ゆうかん</rt><rp>)</rp></ruby>な<ruby>行為<rp>(</rp><rt>こうい</rt><rp>)</rp></ruby>で<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>勲章<rp>(</rp><rt>くんしょう</rt><rp>)</rp></ruby>を<ruby>貰<rp>(</rp><rt>もら</rt><rp>)</rp></ruby>った。,etc
魔法だ。,마법이다.,"[""魔法"", ""だ。""]","[""<ruby>魔法<rp>(</rp><rt>まほう</rt><rp>)</rp></ruby>"", ""だ。""]",<ruby>魔法<rp>(</rp><rt>まほう</rt><rp>)</rp></ruby>だ。,etc
彼女は小悪魔なんだ。,그녀는 작은 악마예요.,"[""彼女は"", ""小悪魔"", ""なんだ。""]","[""<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は"", ""<ruby>小<rp>(</rp><rt>しょう</rt><rp>)</rp></ruby><ruby>悪魔<rp>(</rp><rt>あくま</rt><rp>)</rp></ruby>"", ""なんだ。""]",<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は<ruby>小<rp>(</rp><rt>しょう</rt><rp>)</rp></ruby><ruby>悪魔<rp>(</rp><rt>あくま</rt><rp>)</rp></ruby>なんだ。,N2
仕事量に応じて報酬が支払われます。,일의 양에 따라 보수가 지급됩니다.,"[""仕事量に"", ""応じて"", ""報酬が"", ""支払われます。""]","[""<ruby>仕事<rp>(</rp><rt>しごと</rt><rp>)</rp></ruby><ruby>量<rp>(</rp><rt>りょう</rt><rp>)</rp></ruby>に"", ""<ruby>応<rp>(</rp><rt>おう</rt><rp>)</rp></ruby>じて"", ""<ruby>報酬<rp>(</rp><rt>ほうしゅう</rt><rp>)</rp></ruby>が"", ""<ruby>支払<rp>(</rp><rt>しはら</rt><rp>)</rp></ruby>われます。""]",<ruby>仕事<rp>(</rp><rt>しごと</rt><rp>)</rp></ruby><ruby>量<rp>(</rp><rt>りょう</rt><rp>)</rp></ruby>に<ruby>応<rp>(</rp><rt>おう</rt><rp>)</rp></ruby>じて<ruby>報酬<rp>(</rp><rt>ほうしゅう</rt><rp>)</rp></ruby>が<ruby>支払<rp>(</rp><rt>しはら</rt><rp>)</rp></ruby>われます。,N1
紫外線は皮膚癌を引き起こすことがある。,자외선은 피부암을 유발할 수 있다.,"[""紫外線は"", ""皮膚癌を"", ""引き起こす"", ""ことがある。""]","[""<ruby>紫外線<rp>(</rp><rt>しがいせん</rt><rp>)</rp></ruby>は"", ""<ruby>皮膚<rp>(</rp><rt>ひふ</rt><rp>)</rp></ruby><ruby>癌<rp>(</rp><rt>がん</rt><rp>)</rp></ruby>を"", ""<ruby>引<rp>(</rp><rt>ひ</rt><rp>)</rp></ruby>き<ruby>起<rp>(</rp><rt>お</rt><rp>)</rp></ruby>こす"", ""ことがある。""]",<ruby>紫外線<rp>(</rp><rt>しがいせん</rt><rp>)</rp></ruby>は<ruby>皮膚<rp>(</rp><rt>ひふ</rt><rp>)</rp></ruby><ruby>癌<rp>(</rp><rt>がん</rt><rp>)</rp></ruby>を<ruby>引<rp>(</rp><rt>ひ</rt><rp>)</rp></ruby>き<ruby>起<rp>(</rp><rt>お</rt><rp>)</rp></ruby>こすことがある。,etc
皮膚が赤紫色に変色している。,피부가 적자색으로 변색되어 있다.,"[""皮膚が"", ""赤紫色に"", ""変色している。""]","[""<ruby>皮膚<rp>(</rp><rt>ひふ</rt><rp>)</rp></ruby>が"", ""<ruby>赤<rp>(</rp><rt>あか</rt><rp>)</rp></ruby><ruby>紫色<rp>(</rp><rt>むらさきいろ</rt><rp>)</rp></ruby>に"", ""<ruby>変色<rp>(</rp><rt>へんしょく</rt><rp>)</rp></ruby>している。""]",<ruby>皮膚<rp>(</rp><rt>ひふ</rt><rp>)</rp></ruby>が<ruby>赤<rp>(</rp><rt>あか</rt><rp>)</rp></ruby><ruby>紫色<rp>(</rp><rt>むらさきいろ</rt><rp>)</rp></ruby>に<ruby>変色<rp>(</rp><rt>へんしょく</rt><rp>)</rp></ruby>している。,etc
ランカスター家の紋章が赤バラだったか、白バラだったか忘れてしまった。,랭커스터 가문의 문장이 붉은 장미인지 흰 장미인지 잊어버렸다.,"[""ランカスター家の"", ""紋章が"", ""赤バラだったか、"", ""白バラだったか"", ""忘れてしまった。""]","[""ランカスター<ruby>家<rp>(</rp><rt>か</rt><rp>)</rp></ruby>の"", ""<ruby>紋章<rp>(</rp><rt>もんしょう</rt><rp>)</rp></ruby>が"", ""<ruby>赤<rp>(</rp><rt>あか</rt><rp>)</rp></ruby>バラだったか、"", ""<ruby>白<rp>(</rp><rt>しろ</rt><rp>)</rp></ruby>バラだったか"", ""<ruby>忘<rp>(</rp><rt>わす</rt><rp>)</rp></ruby>れてしまった。""]",ランカスター<ruby>家<rp>(</rp><rt>か</rt><rp>)</rp></ruby>の<ruby>紋章<rp>(</rp><rt>もんしょう</rt><rp>)</rp></ruby>が<ruby>赤<rp>(</rp><rt>あか</rt><rp>)</rp></ruby>バラだったか、<ruby>白<rp>(</rp><rt>しろ</rt><rp>)</rp></ruby>バラだったか<ruby>忘<rp>(</rp><rt>わす</rt><rp>)</rp></ruby>れてしまった。,etc
警察はバンの指紋を採取した。,경찰은 밴의 지문을 채취했다.,"[""警察は"", ""バンの"", ""指紋を"", ""採取した。""]","[""<ruby>警察<rp>(</rp><rt>けいさつ</rt><rp>)</rp></ruby>は"", ""バンの"", ""<ruby>指紋<rp>(</rp><rt>しもん</rt><rp>)</rp></ruby>を"", ""<ruby>採取<rp>(</rp><rt>さいしゅ</rt><rp>)</rp></ruby>した。""]",<ruby>警察<rp>(</rp><rt>けいさつ</rt><rp>)</rp></ruby>はバンの<ruby>指紋<rp>(</rp><rt>しもん</rt><rp>)</rp></ruby>を<ruby>採取<rp>(</rp><rt>さいしゅ</rt><rp>)</rp></ruby>した。,etc
会社は生き残りを賭けて奮闘している。,회사는 생존을 위해 고군분투하고 있다.,"[""会社は"", ""生き残りを"", ""賭けて"", ""奮闘している。""]","[""<ruby>会社<rp>(</rp><rt>かいしゃ</rt><rp>)</rp></ruby>は"", ""<ruby>生<rp>(</rp><rt>い</rt><rp>)</rp></ruby>き<ruby>残<rp>(</rp><rt>のこ</rt><rp>)</rp></ruby>りを"", ""<ruby>賭<rp>(</rp><rt>か</rt><rp>)</rp></ruby>けて"", ""<ruby>奮闘<rp>(</rp><rt>ふんとう</rt><rp>)</rp></ruby>している。""]",<ruby>会社<rp>(</rp><rt>かいしゃ</rt><rp>)</rp></ruby>は<ruby>生<rp>(</rp><rt>い</rt><rp>)</rp></ruby>き<ruby>残<rp>(</rp><rt>のこ</rt><rp>)</rp></ruby>りを<ruby>賭<rp>(</rp><rt>か</rt><rp>)</rp></ruby>けて<ruby>奮闘<rp>(</rp><rt>ふんとう</rt><rp>)</rp></ruby>している。,N1
空欄を埋めなさい。,빈칸을 채우십시오.,"[""空欄を"", ""埋めなさい。""]","[""<ruby>空欄<rp>(</rp><rt>くうらん</rt><rp>)</rp></ruby>を"", ""<ruby>埋<rp>(</rp><rt>う</rt><rp>)</rp></ruby>めなさい。""]",<ruby>空欄<rp>(</rp><rt>くうらん</rt><rp>)</rp></ruby>を<ruby>埋<rp>(</rp><rt>う</rt><rp>)</rp></ruby>めなさい。,etc
まだ未開拓の土地がある。,아직 미개척지가 있다.,"[""まだ"", ""未開拓の"", ""土地が"", ""ある。""]","[""まだ"", ""<ruby>未<rp>(</rp><rt>み</rt><rp>)</rp></ruby><ruby>開拓<rp>(</rp><rt>かいたく</rt><rp>)</rp></ruby>の"", ""<ruby>土地<rp>(</rp><rt>とち</rt><rp>)</rp></ruby>が"", ""ある。""]",まだ<ruby>未<rp>(</rp><rt>み</rt><rp>)</rp></ruby><ruby>開拓<rp>(</rp><rt>かいたく</rt><rp>)</rp></ruby>の<ruby>土地<rp>(</rp><rt>とち</rt><rp>)</rp></ruby>がある。,N1
ボスの経費チェックは厳しいね。まさに、眼光紙背に徹す、だよ。,보스의 경비 검사는 엄격하네. 그야말로 안광지배에 철한다라는 말이 딱이야.,"[""ボスの"", ""経費チェックは"", ""厳しいね。"", ""まさに、"", ""眼光紙背に徹す、"", ""だよ。""]","[""ボスの"", ""<ruby>経費<rp>(</rp><rt>けいひ</rt><rp>)</rp></ruby>チェックは"", ""<ruby>厳<rp>(</rp><rt>きび</rt><rp>)</rp></ruby>しいね。"", ""まさに、"", ""<ruby>眼光<rp>(</rp><rt>がんこう</rt><rp>)</rp></ruby><ruby>紙背<rp>(</rp><rt>しはい</rt><rp>)</rp></ruby>に<ruby>徹<rp>(</rp><rt>とお</rt><rp>)</rp></ruby>す、"", ""だよ。""]",ボスの<ruby>経費<rp>(</rp><rt>けいひ</rt><rp>)</rp></ruby>チェックは<ruby>厳<rp>(</rp><rt>きび</rt><rp>)</rp></ruby>しいね。まさに、<ruby>眼光<rp>(</rp><rt>がんこう</rt><rp>)</rp></ruby><ruby>紙背<rp>(</rp><rt>しはい</rt><rp>)</rp></ruby>に<ruby>徹<rp>(</rp><rt>とお</rt><rp>)</rp></ruby>す、だよ。,etc
水瓶座だよ。,물병자리야.,"[""水瓶座"", ""だよ。""]","[""<ruby>水瓶座<rp>(</rp><rt>みずがめざ</rt><rp>)</rp></ruby>"", ""だよ。""]",<ruby>水瓶座<rp>(</rp><rt>みずがめざ</rt><rp>)</rp></ruby>だよ。,N2
花瓶割ったの誰？,꽃병 깬 사람 누구야?,"[""花瓶"", ""割った"", ""の"", ""誰？""]","[""<ruby>花瓶<rp>(</rp><rt>かびん</rt><rp>)</rp></ruby>"", ""<ruby>割<rp>(</rp><rt>わ</rt><rp>)</rp></ruby>った"", ""の"", ""<ruby>誰<rp>(</rp><rt>だれ</rt><rp>)</rp></ruby>？""]",<ruby>花瓶<rp>(</rp><rt>かびん</rt><rp>)</rp></ruby><ruby>割<rp>(</rp><rt>わ</rt><rp>)</rp></ruby>ったの<ruby>誰<rp>(</rp><rt>だれ</rt><rp>)</rp></ruby>？,N5
寒い時期にあったかい飲物が欲しい時にはこういった魔法瓶がお薦め。,추운 시기에 따뜻한 음료가 필요할 때는 이런 보온병을 추천해.,"[""寒い時期に"", ""あったかい飲物が"", ""欲しい時には"", ""こういった魔法瓶が"", ""お薦め。""]","[""<ruby>寒<rp>(</rp><rt>さむ</rt><rp>)</rp></ruby>い<ruby><ruby>時<rp>(</rp><rt>とき</rt><rp>)</rp></ruby>期<rp>(</rp><rt>じき</rt><rp>)</rp></ruby>に"", ""あったかい<ruby>飲物<rp>(</rp><rt>のみもの</rt><rp>)</rp></ruby>が"", ""<ruby>欲<rp>(</rp><rt>ほ</rt><rp>)</rp></ruby>しい<ruby>時<rp>(</rp><rt>とき</rt><rp>)</rp></ruby>には"", ""こういった<ruby>魔法瓶<rp>(</rp><rt>まほうびん</rt><rp>)</rp></ruby>が"", ""お<ruby>薦<rp>(</rp><rt>すす</rt><rp>)</rp></ruby>め。""]",<ruby>寒<rp>(</rp><rt>さむ</rt><rp>)</rp></ruby>い<ruby>時期<rp>(</rp><rt>じき</rt><rp>)</rp></ruby>にあったかい<ruby>飲物<rp>(</rp><rt>のみもの</rt><rp>)</rp></ruby>が<ruby>欲<rp>(</rp><rt>ほ</rt><rp>)</rp></ruby>しい<ruby>時<rp>(</rp><rt>とき</rt><rp>)</rp></ruby>にはこういった<ruby>魔法瓶<rp>(</rp><rt>まほうびん</rt><rp>)</rp></ruby>がお<ruby>薦<rp>(</rp><rt>すす</rt><rp>)</rp></ruby>め。,etc
デンマークは監獄だ。,덴마크는 감옥이다.,"[""デンマークは"", ""監獄だ""]","[""デンマークは"", ""<ruby>監獄<rp>(</rp><rt>かんごく</rt><rp>)</rp></ruby>だ""]",デンマークは<ruby>監獄<rp>(</rp><rt>かんごく</rt><rp>)</rp></ruby>だ。,etc
彼は脱獄した。,그는 탈옥했다.,"[""彼は"", ""脱獄した""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>脱獄<rp>(</rp><rt>だつごく</rt><rp>)</rp></ruby>した""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>脱獄<rp>(</rp><rt>だつごく</rt><rp>)</rp></ruby>した。,etc
衣ばかりで和尚はできぬ。,옷만 갖춘다고 해서 스님이 될 수 있는 것은 아니다.,"[""衣ばかりで"", ""和尚はできぬ。""]","[""<ruby>衣<rp>(</rp><rt>ころも</rt><rp>)</rp></ruby>ばかりで"", ""<ruby>和尚<rp>(</rp><rt>おしょう</rt><rp>)</rp></ruby>はできぬ。""]",<ruby>衣<rp>(</rp><rt>ころも</rt><rp>)</rp></ruby>ばかりで<ruby>和尚<rp>(</rp><rt>おしょう</rt><rp>)</rp></ruby>はできぬ。,etc
イヌイットの彫刻は美しいです。,이누이트의 조각은 아름답다.,"[""イヌイットの"", ""彫刻は"", ""美しいです""]","[""イヌイットの"", ""<ruby>彫刻<rp>(</rp><rt>ちょうこく</rt><rp>)</rp></ruby>は"", ""<ruby>美<rp>(</rp><rt>うつく</rt><rp>)</rp></ruby>しいです""]",イヌイットの<ruby>彫刻<rp>(</rp><rt>ちょうこく</rt><rp>)</rp></ruby>は<ruby>美<rp>(</rp><rt>うつく</rt><rp>)</rp></ruby>しいです。,N2
田舎での生活がいつも平穏であるとは限らない。,시골 생활이 항상 평온한 것은 아니다.,"[""田舎での"", ""生活が"", ""いつも"", ""平穏である"", ""とは"", ""限らない。""]","[""<ruby>田舎<rp>(</rp><rt>いなか</rt><rp>)</rp></ruby>での"", ""<ruby>生活<rp>(</rp><rt>せいかつ</rt><rp>)</rp></ruby>が"", ""いつも"", ""<ruby>平穏<rp>(</rp><rt>へいおん</rt><rp>)</rp></ruby>である"", ""とは"", ""<ruby>限<rp>(</rp><rt>かぎ</rt><rp>)</rp></ruby>らない。""]",<ruby>田舎<rp>(</rp><rt>いなか</rt><rp>)</rp></ruby>での<ruby>生活<rp>(</rp><rt>せいかつ</rt><rp>)</rp></ruby>がいつも<ruby>平穏<rp>(</rp><rt>へいおん</rt><rp>)</rp></ruby>であるとは<ruby>限<rp>(</rp><rt>かぎ</rt><rp>)</rp></ruby>らない。,etc
教授がいつも不穏な未来を仄めかしてくるよ。,교수가 항상 불길한 미래를 암시해.,"[""教授が"", ""いつも"", ""不穏な"", ""未来を"", ""仄めかして"", ""くるよ。""]","[""<ruby>教授<rp>(</rp><rt>きょうじゅ</rt><rp>)</rp></ruby>が"", ""いつも"", ""<ruby>不穏<rp>(</rp><rt>ふおん</rt><rp>)</rp></ruby>な"", ""<ruby>未来<rp>(</rp><rt>みらい</rt><rp>)</rp></ruby>を"", ""<ruby>仄<rp>(</rp><rt>ほの</rt><rp>)</rp></ruby>めかして"", ""くるよ。""]",<ruby>教授<rp>(</rp><rt>きょうじゅ</rt><rp>)</rp></ruby>がいつも<ruby>不穏<rp>(</rp><rt>ふおん</rt><rp>)</rp></ruby>な<ruby>未来<rp>(</rp><rt>みらい</rt><rp>)</rp></ruby>を<ruby>仄<rp>(</rp><rt>ほの</rt><rp>)</rp></ruby>めかしてくるよ。,etc
攻撃性のもっとも顕著なタイプは捕食者と被食者間によく見られる。,공격성의 가장 두드러진 유형은 포식자와 피식자 사이에서 흔히 볼 수 있다.,"[""攻撃性の"", ""もっとも"", ""顕著なタイプは"", ""捕食者と"", ""被食者間に"", ""よく見られる。""]","[""<ruby>攻撃<rp>(</rp><rt>こうげき</rt><rp>)</rp></ruby><ruby>性<rp>(</rp><rt>せい</rt><rp>)</rp></ruby>の"", ""もっとも"", ""<ruby>顕著<rp>(</rp><rt>けんちょ</rt><rp>)</rp></ruby>なタイプは"", ""<ruby>捕<ruby>食<rp>(</rp><rt>しょく</rt><rp>)</rp></ruby><rp>(</rp><rt>ほしょく</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby>と"", ""<ruby>被<rp>(</rp><rt>ひ</rt><rp>)</rp></ruby><ruby>食<rp>(</rp><rt>しょく</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby><ruby>間<rp>(</rp><rt>かん</rt><rp>)</rp></ruby>に"", ""よく<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>られる。""]",<ruby>攻撃<rp>(</rp><rt>こうげき</rt><rp>)</rp></ruby><ruby>性<rp>(</rp><rt>せい</rt><rp>)</rp></ruby>のもっとも<ruby>顕著<rp>(</rp><rt>けんちょ</rt><rp>)</rp></ruby>なタイプは<ruby>捕食<rp>(</rp><rt>ほしょく</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby>と<ruby>被<rp>(</rp><rt>ひ</rt><rp>)</rp></ruby><ruby>食<rp>(</rp><rt>しょく</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby><ruby>間<rp>(</rp><rt>かん</rt><rp>)</rp></ruby>によく<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>られる。,etc
トムは顕微鏡が欲しい。,톰은 현미경을 원한다.,"[""トムは"", ""顕微鏡が"", ""欲しい。""]","[""トムは"", ""<ruby>顕微鏡<rp>(</rp><rt>けんびきょう</rt><rp>)</rp></ruby>が"", ""<ruby>欲<rp>(</rp><rt>ほ</rt><rp>)</rp></ruby>しい。""]",トムは<ruby>顕微鏡<rp>(</rp><rt>けんびきょう</rt><rp>)</rp></ruby>が<ruby>欲<rp>(</rp><rt>ほ</rt><rp>)</rp></ruby>しい。,N2
人工内耳は技術的に巧妙な機器です。,인공와우는 기술적으로 매우 정교한 기기입니다.,"[""人工内耳は"", ""技術的に"", ""巧妙な"", ""機器です。""]","[""<ruby>人工<rp>(</rp><rt>じんこう</rt><rp>)</rp></ruby><ruby>内耳<rp>(</rp><rt>ないじ</rt><rp>)</rp></ruby>は"", ""<ruby>技術<rp>(</rp><rt>ぎじゅつ</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby>に"", ""<ruby>巧妙<rp>(</rp><rt>こうみょう</rt><rp>)</rp></ruby>な"", ""<ruby>機器<rp>(</rp><rt>きき</rt><rp>)</rp></ruby>です。""]",<ruby>人工<rp>(</rp><rt>じんこう</rt><rp>)</rp></ruby><ruby>内耳<rp>(</rp><rt>ないじ</rt><rp>)</rp></ruby>は<ruby>技術<rp>(</rp><rt>ぎじゅつ</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby>に<ruby>巧妙<rp>(</rp><rt>こうみょう</rt><rp>)</rp></ruby>な<ruby>機器<rp>(</rp><rt>きき</rt><rp>)</rp></ruby>です。,N1
あのピアニストは技巧でよく知られている。,그 피아니스트는 기교로 잘 알려져 있다.,"[""あのピアニストは"", ""技巧で"", ""よく知られている。""]","[""あのピアニストは"", ""<ruby>技巧<rp>(</rp><rt>ぎこう</rt><rp>)</rp></ruby>で"", ""よく<ruby>知<rp>(</rp><rt>し</rt><rp>)</rp></ruby>られている。""]",あのピアニストは<ruby>技巧<rp>(</rp><rt>ぎこう</rt><rp>)</rp></ruby>でよく<ruby>知<rp>(</rp><rt>し</rt><rp>)</rp></ruby>られている。,etc
トムの作った切り紙のクワガタは、今にも動き出しそうなほど精巧な出来上がりだった。,톰이 만든 종이로 만든 사슴벌레는 금방이라도 움직일 것 같은 정교한 작품이었다.,"[""トムの"", ""作った"", ""切り紙のクワガタは"", ""今にも"", ""動き出しそうなほど"", ""精巧な"", ""出来上がりだった""]","[""トムの"", ""<ruby>作<rp>(</rp><rt>つく</rt><rp>)</rp></ruby>った"", ""<ruby>切<rp>(</rp><rt>き</rt><rp>)</rp></ruby>り<ruby>紙<rp>(</rp><rt>し</rt><rp>)</rp></ruby>のクワガタは"", ""<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>にも"", ""<ruby>動<rp>(</rp><rt>うご</rt><rp>)</rp></ruby>き<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>しそうなほど"", ""<ruby>精巧<rp>(</rp><rt>せいこう</rt><rp>)</rp></ruby>な"", ""<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>来上がりだった""]",トムの<ruby>作<rp>(</rp><rt>つく</rt><rp>)</rp></ruby>った<ruby>切<rp>(</rp><rt>き</rt><rp>)</rp></ruby>り<ruby>紙<rp>(</rp><rt>し</rt><rp>)</rp></ruby>のクワガタは、<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>にも<ruby>動<rp>(</rp><rt>うご</rt><rp>)</rp></ruby>き<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>しそうなほど<ruby>精巧<rp>(</rp><rt>せいこう</rt><rp>)</rp></ruby>な<ruby>出来上<rp>(</rp><rt>できあ</rt><rp>)</rp></ruby>がりだった。,N1
日本人の貯蓄性向に矛先を向けてきた。,일본인의 저축 성향에 비판의 화살을 돌려왔다.,"[""日本人の"", ""貯蓄性向に"", ""矛先を"", ""向けてきた。""]","[""<ruby>日本人<rp>(</rp><rt>にっぽんじん</rt><rp>)</rp></ruby>の"", ""<ruby>貯蓄<rp>(</rp><rt>ちょちく</rt><rp>)</rp></ruby><ruby>性<ruby>向<rp>(</rp><rt>む</rt><rp>)</rp></ruby><rp>(</rp><rt>せいこう</rt><rp>)</rp></ruby>に"", ""<ruby>矛先<rp>(</rp><rt>ほこさき</rt><rp>)</rp></ruby>を"", ""<ruby>向<rp>(</rp><rt>む</rt><rp>)</rp></ruby>けてきた。""]",<ruby>日本人<rp>(</rp><rt>にっぽんじん</rt><rp>)</rp></ruby>の<ruby>貯蓄<rp>(</rp><rt>ちょちく</rt><rp>)</rp></ruby><ruby>性向<rp>(</rp><rt>せいこう</rt><rp>)</rp></ruby>に<ruby>矛先<rp>(</rp><rt>ほこさき</rt><rp>)</rp></ruby>を<ruby>向<rp>(</rp><rt>む</rt><rp>)</rp></ruby>けてきた。,etc
彼は垣根を飛び越えた。,그는 울타리를 뛰어넘었다.,"[""彼は"", ""垣根を"", ""飛び越えた""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>垣根<rp>(</rp><rt>かきね</rt><rp>)</rp></ruby>を"", ""<ruby>飛<rp>(</rp><rt>と</rt><rp>)</rp></ruby>び<ruby>越<rp>(</rp><rt>こ</rt><rp>)</rp></ruby>えた""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>垣根<rp>(</rp><rt>かきね</rt><rp>)</rp></ruby>を<ruby>飛<rp>(</rp><rt>と</rt><rp>)</rp></ruby>び<ruby>越<rp>(</rp><rt>こ</rt><rp>)</rp></ruby>えた。,etc
家の周りには石垣がありました。,집 주변에는 돌담이 있었습니다.,"[""家の周りには"", ""石垣が"", ""ありました。""]","[""<ruby>家<rp>(</rp><rt>いえ</rt><rp>)</rp></ruby>の<ruby>周<rp>(</rp><rt>まわ</rt><rp>)</rp></ruby>りには"", ""<ruby>石垣<rp>(</rp><rt>いしがき</rt><rp>)</rp></ruby>が"", ""ありました。""]",<ruby>家<rp>(</rp><rt>いえ</rt><rp>)</rp></ruby>の<ruby>周<rp>(</rp><rt>まわ</rt><rp>)</rp></ruby>りには<ruby>石垣<rp>(</rp><rt>いしがき</rt><rp>)</rp></ruby>がありました。,etc
自分を偽ることをやめたら楽になった。,자신을 속이는 것을 그만두니 편해졌다.,"[""自分を"", ""偽ることを"", ""やめたら"", ""楽になった。""]","[""<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>を"", ""<ruby>偽<rp>(</rp><rt>いつわ</rt><rp>)</rp></ruby>ることを"", ""やめたら"", ""<ruby>楽<rp>(</rp><rt>らく</rt><rp>)</rp></ruby>になった。""]",<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>を<ruby>偽<rp>(</rp><rt>いつわ</rt><rp>)</rp></ruby>ることをやめたら<ruby>楽<rp>(</rp><rt>らく</rt><rp>)</rp></ruby>になった。,etc
自分を欺くのはやめましょう。,자신을 속이지 말자.,"[""自分を"", ""欺くのは"", ""やめましょう。""]","[""<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>を"", ""<ruby>欺<rp>(</rp><rt>あざむ</rt><rp>)</rp></ruby>くのは"", ""やめましょう。""]",<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>を<ruby>欺<rp>(</rp><rt>あざむ</rt><rp>)</rp></ruby>くのはやめましょう。,N1
魚の缶詰めはタレがうまい。,생선 통조림은 양념이 맛있다.,"[""魚の缶詰めは"", ""タレが"", ""うまい""]","[""<ruby>魚<rp>(</rp><rt>さかな</rt><rp>)</rp></ruby>の<ruby>缶詰<rp>(</rp><rt>かんづ</rt><rp>)</rp></ruby>めは"", ""タレが"", ""うまい""]",<ruby>魚<rp>(</rp><rt>さかな</rt><rp>)</rp></ruby>の<ruby>缶詰<rp>(</rp><rt>かんづ</rt><rp>)</rp></ruby>めはタレがうまい。,etc
化粧してるの？,화장했어?,"[""化粧してるの？""]","[""<ruby>化粧<rp>(</rp><rt>けしょう</rt><rp>)</rp></ruby>してるの？""]",<ruby>化粧<rp>(</rp><rt>けしょう</rt><rp>)</rp></ruby>してるの？,N3
みなさん、どうか静粛に。,"여러분, 부디 조용히 해주세요.","[""みなさん"", ""どうか"", ""静粛に""]","[""みなさん"", ""どうか"", ""<ruby>静粛<rp>(</rp><rt>せいしゅく</rt><rp>)</rp></ruby>に""]",みなさん、どうか<ruby>静粛<rp>(</rp><rt>せいしゅく</rt><rp>)</rp></ruby>に。,etc
